#,Region,District,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019
,,,,,,,,,
1,Awdal,Borama,"4,500","4,500","4,500","4,500","4,000","4,250","4,375"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"8,000","8,000",,,,,
4,Awdal,Zeylac,"6,000","6,000","5,000","6,000","6,000","5,500","5,500"
5,Woqooyi Galbeed,Hargeysa,"5,000","5,000","5,000","5,000","5,000","5,000","5,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,,
8,Togdheer,Burco,"5,000","5,000","6,000","6,000","6,000","6,000","6,000"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,,,,,,,
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,,,,,,,
16,Sanaag,Ceerigaabo,,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,,
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,,,,,,,
20,Bari,Bandarbeyla,,,,,,,
21,Bari,Caluula,,,,,,,
22,Bari,Iskushuban,,,,,,,
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"20,750","20,000","23,500","21,000","23,000","25,000","28,000"
26,Nugaal,Burtinle,,"825,000","21,750","12,750",,,
27,Nugaal,Eyl,,,,,,,
28,Mudug,Gaalkacyo,"14,000","16,000","16,000","14,000","14,000","13,000","13,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"28,000","40,000","40,000","39,000","39,000","39,000","39,000"
31,Mudug,Jariiban,,,,,,,
32,Mudug,Xarardheere,"13,000","11,000","11,000","13,000","13,000","14,000","13,000"
33,Galgaduud,Dhuusamarreeb,"16,000","16,000","16,000","16,000","16,250","16,000","16,000"
34,Galgaduud,Cabudwaaq,"22,100","22,400","22,400","22,400","22,400","22,400","22,000"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,,
38,Hiraan,Belet Weyne,"8,000","8,000","8,000","8,000","8,000","8,000","10,000"
39,Hiraan,Bulo Burto,"9,000","8,000","8,000","10,000","10,000","10,000","11,000"
40,Hiraan,Jalalaqsi,"7,000","7,000","7,000","6,000","8,600","9,000","9,500"
41,Middle Shabelle,Jowhar,"4,450","4,475","5,550","5,750","6,125","6,700","6,700"
42,Middle Shabelle,Adan Yabaal,,,,,,,
43,Middle Shabelle,Balcad,"7,000","7,000","8,000","8,000","8,000","10,000","10,000"
44,Middle Shabelle,Cadale,"10,000","10,000","10,000","12,000","12,000","12,000","12,000"
45,Banadir,Mogadishu,"6,600","6,600","7,650","8,150","8,260","8,975","9,300"
46,Lower Shabelle,Marka,"5,983","6,333","6,333","7,300","7,825","7,900","7,500"
47,Lower Shabelle,Afgooye,"6,000","6,334","7,667","7,000","8,667","7,667","7,000"
48,Lower Shabelle,Baraawe,"4,200","4,925","5,250","5,300","5,675","6,700","6,275"
49,Lower Shabelle,Kurtunwaarey,"3,800","3,900","4,950","5,150","5,375","6,325","6,250"
50,Lower Shabelle,Qoryooley,"4,400","4,650","5,425","5,550","5,275","5,775","5,750"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"5,333","5,333","6,666","6,666","6,666","8,000","8,000"
53,Bay,Baydhaba,"5,000","5,000","5,200","5,600","5,620","6,225","6,300"
54,Bay,Buur Hakaba,"6,500","6,000","7,500","6,000","6,500","7,000","7,000"
55,Bay,Diinsoor,"3,900","3,450","3,100","3,100","3,260","3,500","3,300"
56,Bay,Qansax Dheere,"5,000","4,250","5,000","5,000","5,600","6,000","6,000"
57,Bakool,Xudur,"12,000","12,000","12,000","12,000","12,000","12,250","12,000"
58,Bakool,Ceel Barde,,,,,"16,200","16,750","17,000"
59,Bakool,Tayeeglow,"6,000","6,000","5,000","4,500","4,500","5,000","6,500"
60,Bakool,Waajid,"9,375","9,000","9,000","10,000","10,100","10,250","10,000"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"7,000","7,000","6,750","6,500","7,000","8,000","8,750"
64,Gedo,Belet Xaawo,"14,750","14,750","14,751","15,001","15,001","15,750","17,000"
65,Gedo,Ceel Waaq,"10,000","9,500","9,000","12,000","13,000","13,500","14,000"
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,"8,500","9,500","10,500","11,500","12,000","10,500","11,000"
68,Middle Juba,Bu'aale,"5,000","5,000","5,000","6,700","6,850","6,650","7,175"
69,Middle Juba,Jilib,"5,000","5,000","5,000","6,000","6,250","6,500","7,100"
70,Middle Juba,Saakow,"5,300","5,000","5,300","5,500","5,700","6,500","7,500"
71,Lower Juba,Kismaayo,"10,000","10,000","9,000","9,000","9,000","10,000","10,000"
72,Lower Juba,Afmadow,"11,000","11,000","10,000","10,000","10,000","11,000","11,000"
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,"4,825","4,250","5,750","6,000","5,500","6,900","7,000"
